Lithic ID,TA,AREA,DEPTH (cm),Raw Material,Colour/Grain/Opacity,Pattern,Cortex (%),Weight (g),Length (mm),Width (mm),Thickness (mm),Bulb Thickness (mm),Platform Thickness (mm),platform Length (mm),Eraillure,Typology,Utilization,Retouch,Retouch Position,Retouch Localization,Retouch Distribution,Retouch Intensity,Retouch ANGLE,RETOUCH MORPHOLOGY,SHINE,Blank,Breakage,Num of Scars on Cores,Platform Typology,Removal blank,Core Typology,Termination,Comments,Photo Number
1,34,A,30-40,,5FO,,0,,34.5,12.7,3.1,3.4,1.6,6.5,,,1,0,,,,,,,,BLADELET,,,LINEAR,,,,,
2,34,A,30-40,,5FS,,0,,18.5,10.7,1.2,,-,,,,1,0,,,,,,,,MEDIAL,,,,,,,,
3,34,A,30-40,,5FT,,0,,17,7.6,1.4,1.7,-,,,,0,0,,,,,,,,BLADELET,,,INDENT,,,,,
4,34,A,30-40,,5FT,,0,,15.5,5.8,1.1,1.2,4.4,1.1,,,0,0,,,,,,,,BLADELET-PRO,,,LINEAR,,,,,
5,34,A,30-40,,5FO,,0,,15,6.2,1.3,,-,,,,0,0,,,,,,,,MEDIAL,,,,,,,,
6,34,A,30-40,,5FO,,0,,11,7.6,1.5,,-,,,,0,0,,,,,,,,BLADELET- DIS,,,,,,,,
9,34,A,30-40,,5FO,STREAKS,0,,23,7.7,0.2,0.3,-,,,,0,0,,,,,,,,BLADELET-PRO,,,PUNCTIFORM,,,,,
10,34,A,30-40,,5FS,,0,,23,5,1.2,,-,,,,0,1,direct,,,fine,,,,MEDIAL,,,,,,,,
11,34,A,30-40,,7FO,,10,,33,13.7,3.5,3.9,4.5,2.2,1,,1,0,,,,,,,,peo,,,plain,,,,,
12,34,A,30-40,,10FF,,0,,37,11.5,2.5,2.8,3.6,1.8,,,0,0,,,,,,,,bladelet-pro,,,plain,,,,,
13,34,A,30-40,,8FO,,0,,29,12,2.5,2.6,4.8,2,,,0,0,,,,,,,,pro,,,plain,,,,,
15,34,A,30-40,,8MO,,0,,31,9.5,2.6,2.5,3.2,2,,,1,0,,,,,,,,pro,,,plain,,,,,
16,34,A,30-40,,8MO,,0,,21.6,12.3,2.6,2.8,8,1.2,,,0,0,,,,,,,,pro,,,linear,,,,,
18,34,A,30-40,,8MO,خالدار,0,,22,10,2.2,,-,,,,0,0,,,,,,,,MEDIAL,,,,,,,,
17,34,A,30-40,,8MO,خالدار,0,,25.2,11.8,2.6,,-,,,,0,0,,,,,,,,MEDIAL,,,,,,,,
19,34,A,30-40,Chert,11MO,Patchy,0,,48,15,4.7,5.3,9.7,4.1,,,1,0,0,,0,0,,,,Microblade,0,0,prepared,,-,,,
25,34,A,30-40,,7MO,,0,,25,7.5,1.6,,-,,,,0,0,0,,0,0,,,,Mwdial,0,,0,,0,,,
