Site,Longitude DD,Latitude DD
Jarmo,35.426233,45.108185
Tepe Asiab,34.289057,46.92885
Sarab,34.368805,46.957934
Karim Shahir,35.132485,45.308011
Zawi Chemi Shanidar,36.78185707,"	44.27887156"
Ganj Dareh ,34.272056,47.475859
Guran,33.583141,48.398001
Kelek Asad Morad,32.855147,47.905559
Abdul Hosein,33.829594,48.25765
Sheikh-e Abad,34.611667,47.269722
Jani,33.947778,46.783333
East Chia Sabz,33.319115,47.184613
Chogha Golan,33.418549,46.264667
Qazanchi Tappeh,34.444374,47.022821
Ali Kosh,32.558,47.3243
Chogha Sefid,32.723466,47.204199
Chogha Bonut,32.222192,48.505028
Chogha Mish,32.209167,48.546111
Tula'i,32.423747,48.198506
Ashraf Abad,37.808056,46.826111
Tepe Sabz,32.679593,47.223808
Farukhabad,32.409141,48.060299
Susa,32.190556,48.257778
Boneh Fazl Ali,32.2517888,48.5495387
